Disease Pair,Comorbidity
dyssomnias&sleep disorders,8861.622359
charcot-marie-tooth disease&hereditary sensory and motor neuropathy,6496.751624
hair diseases&hypotrichosis,3858.711784
"arthritis, rheumatoid&lung diseases, obstructive",3604.926182
head and neck neoplasms&neoplasms,3102.625298
"colitis, ulcerative&stomatognathic diseases",1709.13855
leukemia&stomatognathic diseases,1709.13855
cerebellar ataxia&spinocerebellar degenerations,1290.353093
cerebellar ataxia&spinocerebellar ataxias,1286.491836
spinocerebellar ataxias&spinocerebellar degenerations,1286.491836
"spastic paraplegia, hereditary&spinocerebellar ataxias",1286.491836
"amino acid metabolism, inborn errors&metabolism, inborn errors",1282.304202
"amino acid metabolism, inborn errors&autoimmune diseases",1282.304202
"amino acid metabolism, inborn errors&immunologic deficiency syndromes",1282.304202
amyotrophic lateral sclerosis&motor neuron disease,1247.481048
"myocardial infarction&neoplasms, connective and soft tissue",1189.148928
uveal diseases&uveitis,1177.96303
albuminuria&proteinuria,1103.097157
demyelinating diseases&multiple sclerosis,796.324655
albuminuria&glioma,753.178027
glioma&proteinuria,753.178027
endocrine system diseases&thyroid diseases,674.553757
endocrine system diseases&goiter,674.553757
goiter&thyroid diseases,674.553757
celiac disease&malabsorption syndromes,647.991227
celiac disease&hair diseases,464.319422
"neoplasms, germ cell and embryonal&ovarian neoplasms",429.014586
malformations of cortical development&spinocerebellar degenerations,316.918576
"leukemia, b-cell&leukemia, lymphocytic, chronic, b-cell",298.974288
"leukemia, b-cell&precursor cell lymphoblastic leukemia-lymphoma",298.974288
graves disease&hyperthyroidism,255.107047
asthma&lymphoma,239.011218
leukemia&precursor cell lymphoblastic leukemia-lymphoma,218.437525
"leukemia, myeloid, acute&stomatognathic diseases",218.278456
cranial nerve diseases&movement disorders,213.722861
hereditary sensory and motor neuropathy&peripheral nervous system diseases,209.572633
charcot-marie-tooth disease&peripheral nervous system diseases,209.572633
dwarfism&leprosy,174.085382
"spastic paraplegia, hereditary&spinocerebellar degenerations",169.345804
"leukemia&leukemia, myeloid, acute",167.845846
charcot-marie-tooth disease&muscular dystrophies,167.205729
hereditary sensory and motor neuropathy&muscular dystrophies,167.205729
peripheral nervous system diseases&polyneuropathies,166.41065
"abnormalities, multiple&intellectual disability",162.86645
spondylarthropathies&spondylitis,150.950407
bile duct diseases&cholestasis,147.360546
intellectual disability&malformations of cortical development,139.599814
craniofacial abnormalities&spinocerebellar degenerations,123.589417
leprosy&malformations of cortical development,121.859768
adrenal gland diseases&dwarfism,120.813353
"blood coagulation disorders&blood coagulation disorders, inherited",113.896214
craniofacial abnormalities&vascular diseases,113.873268
"leukemia, myeloid, acute&myeloproliferative disorders",106.715374
"craniofacial abnormalities&spondylitis, ankylosing",105.481209
"muscular dystrophies&spastic paraplegia, hereditary",102.985306
"liver cirrhosis&liver cirrhosis, biliary",101.992782
"leukemia, lymphocytic, chronic, b-cell&precursor cell lymphoblastic leukemia-lymphoma",99.878939
"leukemia&leukemia, b-cell",95.233123
"liver cirrhosis, biliary&myocardial infarction",94.433631
"leukemia&leukemia, lymphocytic, chronic, b-cell",89.987621
exophthalmos&vascular diseases,85.321768
blood platelet disorders&hemorrhagic disorders,80.622136
"spastic paraplegia, hereditary&spinal cord diseases",76.740664
autoimmune diseases&immunologic deficiency syndromes,71.129537
nervous system diseases&vascular diseases,70.362312
hereditary sensory and motor neuropathy&polyneuropathies,68.748694
charcot-marie-tooth disease&polyneuropathies,68.748694
charcot-marie-tooth disease&dwarfism,66.293384
dwarfism&hereditary sensory and motor neuropathy,66.293384
movement disorders&neuroendocrine tumors,65.865472
autoimmune diseases&polyneuropathies,62.774639
"purine-pyrimidine metabolism, inborn errors&spinal cord diseases",62.441161
celiac disease&lysosomal storage diseases,56.758356
lysosomal storage diseases&malabsorption syndromes,56.758356
"amino acid metabolism, inborn errors&purine-pyrimidine metabolism, inborn errors",55.752357
"leukemia, b-cell&thyroid diseases",48.490933
behcet syndrome&blood platelet disorders,47.548335
adrenal gland diseases&uveal diseases,47.358834
leukemia&lymphoproliferative disorders,47.160156
polyneuropathies&spinocerebellar degenerations,46.9509
basal ganglia diseases&parkinsonian disorders,46.538102
basal ganglia diseases&dyskinesias,46.538102
"arthritis, rheumatoid&stomatognathic diseases",46.307873
"anemia, aplastic&precursor cell lymphoblastic leukemia-lymphoma",45.985522
