cui,auroc
C0003123,0.7153201288070952
C0040517,0.7158372980155159
C1510586,0.752770858153724
C0020538,0.7514307003753633
C0010346,0.9176049920454721
no_gene,no_gene
C4025843,0.7907504589137242
C0002170,0.6291638932364283
C0002395,0.7944683303045078
C0004106,0.5677593517915047
C0201657,0.7563323216085568
C0008925,0.7019399542383652
C0339682,0.6104507569620709
C0013595,0.7552284548198714
C0018213,0.7588026140213264
C2363741,0.6260722922718908
C0018536,0.6452715091419812
C0018681,0.5676300126518106
C0017661,0.7917407301927125
no_gene,no_gene
C0026654,0.6382869271170588
C0027092,0.7731035758608197
C0149745,0.867384319822348
C0036202,0.8061382793314879
C0085271,0.6246004658973942
C0039263,0.8041690949129168
C1336708,0.6580703174174984
no_gene,no_gene
C0042900,0.9487412983649021
C2700366,0.7417991702780649
C0410702,0.7068328799348493
C0741260,0.9030322685260256
C1314691,0.7744149571949497
C1629609,0.7292722499903134
no_gene,no_gene
C0001925,0.7151535596696713
C0001948,0.7245647770256382
C0201850,0.8048787807849987
C0002171,0.8456323947207538
C0002736,0.6459508696023455
C0162311,0.5398516931188382
C0038013,0.9535057087927178
C0003125,0.644931120091813
no_gene,no_gene
no_gene,no_gene
C0201899,0.7139500623353622
C0004096,0.8206874429392751
C0004238,0.7636902099805128
C1263846,0.8561968003743093
C0178468,0.8471564272343755
C0007117,0.5963910017802233
no_gene,no_gene
C0023892,0.7216169838127647
C0344395,0.8163862165051226
C0853193,0.7401197604790419
C0005586,0.7090575444412284
C0005612,0.83175203991002
no_gene,no_gene
C0005845,0.7511512920456185
C0424621,0.8028252202588966
no_gene,no_gene
no_gene,no_gene
C0005910,0.8605475214044176
C0005938,0.7860463723973291
no_gene,no_gene
C0678222,0.630454957565726
C0425782,0.7271018793273986
C0201925,0.6752042694147956
C0523953,0.6969337309216463
C0007570,0.8044633969776491
C1720164,0.8907832442260266
C0023434,0.7943848314544761
C0600427,0.7597541089899761
C0152021,0.6624329739135765
C0524957,0.7938578963475005
C1956346,0.883631919946508
C0201973,0.801088457414393
C0151779,0.7412289944345383
C0011334,0.577088806189987
C0011881,0.7938922556323258
C0011884,0.6192857528186869
C0428883,0.7681061190437733
no_gene,no_gene
C0476089,0.6970181559733799
C0014175,0.6389746944674402
C0341106,0.7434982048959752
C0337434,0.7353834943595833
C0015396,0.7442406258429997
C0428568,0.7398777813190095
C1281901,0.7147952290886633
no_gene,no_gene
C4255374,0.8517519569412977
C0017168,0.6117555596309794
C0017601,0.6317189649075331
C0017654,0.7193236857658521
no_gene,no_gene
C0337438,0.7999461264506789
C0523677,0.7105032541024119
C0018099,0.6733700351466517
C0857490,0.7591897983835818
C0018498,0.7419855384422478
no_gene,no_gene
C0018810,0.7829131213457934
C0518015,0.715016682474347
no_gene,no_gene
C0392885,0.7374855741249409
C0562350,0.8672837042830817
C4315130,0.7544238239102288
C2242817,0.7821787140852238
C0441683,0.5927530425201584
no_gene,no_gene
C0020676,0.6573714972692807
C2076600,0.6752493173887015
C0202098,0.9296891862723937
C0021704,0.7408085543510576
no_gene,no_gene
no_gene,no_gene
C2697758,0.7424939304019422
no_gene,no_gene
no_gene,no_gene
C2697766,0.6631105903754693
C3897558,0.815150963250769
C0040420,0.7655541641712493
C0424678,0.7828284420070986
C0023343,0.8088326520682823
no_gene,no_gene
C0023508,0.7404569635686109
C0023980,0.6904655840030789
C0202117,0.7603387133416643
no_gene,no_gene
C0024530,0.4297079937388676
C0596887,0.7702129440375591
C0025202,0.6391200106477883
C1285654,0.6182213853562167
C0026603,0.7867271352985638
C0026691,0.8035500447308679
C0026764,0.7260081155398086
C0026769,0.9040555319669072
C0027051,0.8007708496780863
C0028043,0.7291655426670264
C0400966,0.8153243522646506
C0007131,0.584462483832186
C0028754,0.6475728349935438
no_gene,no_gene
C0153382,0.6605976544880469
C0029410,0.826536946078696
C0409959,0.7016316796510672
C0029925,0.7565516372342532
C1335177,0.8140297034283864
C0235974,0.7421159623653013
C0202159,0.7200525047649872
C0154778,0.707342019983797
C0877015,0.7582449036161277
C0031099,0.5877618972819868
C0202177,0.7346999454987964
C4049938,0.7633763457192998
C0032460,0.5500882866066991
C0038436,0.6259506448862993
C0202194,0.6886934311820995
C0008312,0.7718008192271628
C0154830,0.5449448762974595
no_gene,no_gene
C0201544,0.8764572538860104
C0202202,0.6790570799701324
C0033860,0.8797509034036536
C0263361,0.8029132758919656
C0007134,0.5808572359135815
C0035204,0.7317180583202008
no_gene,no_gene
no_gene,no_gene
no_gene,no_gene
no_gene,no_gene
C1821417,0.7938196140166583
C0003873,0.7460975658444203
C0036341,0.7158765699977094
C1883008,0.7667428077540437
C1278049,0.7448877451775002
C0037290,0.6945067738210359
C0424574,0.8013195696538606
C0337443,0.6349948751146356
no_gene,no_gene
C0007137,0.6256520124452992
C0149782,0.6882288347644507
no_gene,no_gene
C1720824,0.7767876796816919
C0406208,0.7958022556120059
C0036421,0.7416991982537884
C0523912,0.624772766889957
C0202230,0.7447036186875506
C0202231,0.7543730248679247
C1277709,0.6931339738745547
C0009324,0.9092754608876661
C0041696,0.6482226907343059
C0202239,0.7330376235404703
C2239222,0.767055058078901
C4280669,0.5200299080404838
C1861172,0.6690107690353619
C0042834,0.7526550759990334
C0919758,0.679394285097625
C2239219,0.7922334681521003
C0455829,0.8584405034913439
C0205682,0.7688434565299914
