Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	chemical synaptic transmission (GO:0007268)	47/306	1.0726456111726743e-33	1.5671352379232771e-30	0	0	13.944282509499901	1058.5827158178631	GABRB3;GRIA1;GABRB2;GRIA2;GABRB1;CHRNA3;NLGN1;CHRNA5;GRIK5;CHRNA7;NRXN1;GRIK3;GRIK4;NRXN2;HTR2C;GRIK1;GRIK2;HTR2A;SLC6A1;CDH8;GRM1;GRM3;RIMS1;GRIN2A;GRM5;PTCHD1;GRM7;ERC2;DLGAP2;TSPOAP1;GRIA4;GABRA2;UNC13C;GABRA1;GRID2;GRID1;GRIN2B;GABRG3;GABRG2;GABRG1;CACNB2;DLG1;CACNB4;DLG2;NOVA1;EXOC4;APBA1
GO_Biological_Process_2021	anterograde trans-synaptic signaling (GO:0098916)	38/244	1.4730632661659563e-27	1.0760727159342311e-24	0	0	13.725116727191878	847.9713849329506	GABRB3;GRIA1;GABRB2;GRIA2;GABRB1;CHRNA3;NLGN1;CHRNA5;CHRNA7;NRXN1;GRIK4;HTR2C;NRXN2;GRIK1;GRIK2;HTR2A;SLC6A1;GRM1;GRM3;GRIN2A;GRM5;PTCHD1;GRM7;GRIA4;GABRA2;UNC13C;GABRA1;GABRG3;GRIN2B;GABRG2;GABRG1;CACNB2;DLG1;CACNB4;DLG2;NOVA1;EXOC4;APBA1
GO_Biological_Process_2021	glutamate receptor signaling pathway (GO:0007215)	16/37	4.2641063906093817e-20	2.0766198122267688e-17	0	0	52.794097920858476	2354.694333543403	GRIA2;GRID2;GRIK3;GRIK4;GRIK1;GRIK2;GRIN2B;GRM1;GRM3;GRIN2A;GRM5;GRM7;GRM8;HOMER3;PLCB1;GRIA4
GO_Biological_Process_2021	modulation of chemical synaptic transmission (GO:0050804)	22/109	6.518410918925471e-19	2.3808495881375284e-16	0	0	17.840320846770858	747.0542681159124	PXK;GRID2;NLGN1;CLSTN2;GRID1;CHRNA7;GRIK5;GRIK3;GRIK4;GRIK1;GRIK2;GRM1;RIMS2;GRM3;RIMS1;GRM5;RELN;GRM7;NRG3;GRM8;DLGAP2;CNTNAP4
GO_Biological_Process_2021	axon guidance (GO:0007411)	25/203	5.710859472312808e-16	1.668713137809802e-13	0	0	9.970377936670072	349.9502149876792	ROBO2;SEMA5A;NRP2;PLXND1;NRXN1;NRXN3;PTPRM;ROBO1;RELN;PLXNA2;PLXNC1;PLXNA4;EPHA7;SEMA6A;DSCAM;CNTN6;DCC;SEMA6D;UNC5D;SEMA4G;DAB1;NFIB;PLXNB1;CNTN4;DSCAML1
GO_Biological_Process_2021	synapse assembly (GO:0007416)	16/69	4.119761097490022e-15	1.00316182723882e-12	0	0	20.884400744087163	691.7536136222458	GABRB3;KIRREL3;GABRA2;GABRB2;GABRA1;GRID2;NLGN1;PLXND1;DSCAM;NRXN1;NRXN2;GABRG2;SDK1;NRCAM;PLXNB1;DRD1
GO_Biological_Process_2021	synaptic transmission, glutamatergic (GO:0035249)	10/18	1.953358593891284e-14	4.0769384366788085e-12	0	0	84.8793103448276	2679.354722655636	GRIA2;UNC13C;GRID2;GRID1;GRIK5;GRIK3;GRIK4;GRIK1;GRIK2;CDH8
GO_Biological_Process_2021	axonogenesis (GO:0007409)	25/240	2.9265944289433264e-14	5.34469307585775e-12	0	0	8.238900634249473	256.74352055213933	ROBO2;SEMA5A;NRP2;NRXN1;NRXN3;ROBO1;RELN;SLITRK5;NRCAM;CTNNA2;EPHA7;SEMA6A;DSCAM;AUTS2;CNTN6;DCC;SEMA6D;LMTK2;ANK3;UNC5D;SEMA4G;DAB1;MAP1B;CNTN4;DSCAML1
GO_Biological_Process_2021	synapse organization (GO:0050808)	19/126	4.7032588298371754e-14	7.634956833769014e-12	0	0	12.381248544916351	379.9549588039524	KIRREL3;UNC13C;NLGN1;PLXND1;DSCAM;CHRNA7;NRXN1;NRXN2;ANK3;SLC6A1;PTPRD;CACNB2;SDK1;GRM5;CACNB4;NRCAM;DRD1;GPC6;PPFIA2
GO_Biological_Process_2021	cell-cell adhesion via plasma-membrane adhesion molecules (GO:0098742)	21/170	1.2393638889478745e-13	1.8107106417528448e-11	0	0	9.87638016886772	293.51622079249717	KIRREL3;PTPRT;ROBO2;GRID2;NLGN1;DSCAM;TENM4;CNTN6;PTPRM;UNC5D;CDH8;CDH7;ROBO1;PTPRD;SDK1;CDH10;CDH13;CNTN4;DSCAML1;GPC6;CDH18
