node1,node2,importance
GRIA2,GRM7,0.00033332375460304314
GRIA2,ERBB4,0.0024745457340031862
GRIA2,GRIN2B,0.0013935936149209738
GRIA2,GRIN2A,0.00016801668971311298
GRIA2,RYR2,0.003976670559495688
GRIA2,NRG1,0.00019028213864658028
GRIA2,PLCB1,0.0012812626082450151
GRIA2,GRIK2,0.004154752939939499
GRIA2,CACNA1D,0.00030862531275488436
GRIA2,CACNA1C,0.0018684695241972804
GRIA2,GRM8,0.002442537108436227
GRIA2,GRM1,0.00023484486155211928
GRIA2,DRD1,0.0002074760850518942
GRIA2,GRIK3,0.00024834435316734016
GRIA2,GRIK1,0.0043485164642333984
GRIA2,GRM3,0.0002261539630126208
GRIA2,GRIA1,0.00015961586905177683
GRIA2,CHRNA7,0.0018960591405630114
GRIA2,CACNA1G,0.00032954916241578763
GRIA2,GRM5,0.00018893872038461268
GRIA2,HTR2A,0.00026688669458962966
GRIA2,GRIK4,0.00043165587703697383
GRIA2,GRIA4,0.00031138601480051875
GRIA2,GRIK5,0.0006732195033691822
GRIA2,CAMK2D,0.00025515721063129604
GRIA2,HTR2C,0.000315773650072515
GRIA2,PLCB4,0.00023317910381592807
GRIA2,HOMER3,0.0006729885935783386
GRM7,ERBB4,0.003311207517981529
GRM7,GRIN2B,0.0018647776450961828
GRM7,GRIN2A,0.00036302825901657343
GRM7,NRG1,0.0004187838057987392
GRM7,PLCB1,0.001714469981379807
GRM7,GRIK2,0.005559515208005904
GRM7,CACNA1D,0.0004351188545115292
GRM7,CACNA1C,0.0025002171751111746
GRM7,GRM8,0.003268376458436251
GRM7,GRM1,0.0004561363020911812
GRM7,DRD1,0.00038465752732008696
GRM7,GRIK3,0.0005465715075843036
GRM7,GRIK1,0.0058188033290207395
GRM7,GRM3,0.0004977335338480772
GRM7,GRIA1,0.0003512910916469991
GRM7,CHRNA7,0.002537130145356059
GRM7,GRM5,0.0004158263618592173
GRM7,HTR2A,0.0005762362852692603
GRM7,GRIK4,0.0007147373980842531
GRM7,GRIA4,0.0004954570904374123
GRM7,GRIK5,0.0009008415509015322
GRM7,CAMK2D,0.0005615646368823948
GRM7,HTR2C,0.0005897073424421251
GRM7,HOMER3,0.0014811488799750805
ERBB4,GRIN2B,0.002316594356670976
ERBB4,GRIN2A,0.0026950621977448463
ERBB4,RYR2,0.0031299407128244643
ERBB4,NRG1,0.003108988283202052
ERBB4,PLCB1,0.003053892869502306
ERBB4,GRIK2,0.0035511078312993045
ERBB4,CACNA1C,0.0021836368832737207
ERBB4,GRM8,0.003295496106147766
ERBB4,GRM1,0.003386280965059996
ERBB4,DRD1,0.002855634316802025
ERBB4,GRIK3,0.004057672340422869
ERBB4,GRIK1,0.005098856519907713
ERBB4,GRM3,0.003695092163980007
ERBB4,GRIA1,0.0026079323142766953
ERBB4,CHRNA7,0.005124760325998068
ERBB4,CACNA1G,0.0046128532849252215
ERBB4,GRM5,0.0030870267655700445
ERBB4,HTR2A,0.0042778835631907
ERBB4,GRIK4,0.005306093487888575
ERBB4,GRIA4,0.003678198903799057
ERBB4,HTR2C,0.0043778903782367715
ERBB4,PLCE1,0.0045181196182966215
ERBB4,PLCB4,0.002958934288471937
GRIN2B,GRIN2A,0.0015177851309999824
GRIN2B,RYR2,0.003722844878211617
GRIN2B,NRG1,0.001750893541611731
GRIN2B,PLCB1,0.0017198669956997035
GRIN2B,GRIK2,0.0038895527832210064
GRIN2B,CACNA1D,0.0018191887065768238
GRIN2B,CACNA1C,0.0017492108745500445
GRIN2B,GRM8,0.002286637667566538
GRIN2B,GRM1,0.0019070606213063
GRIN2B,DRD1,0.0016082150395959616
GRIN2B,GRIK3,0.002285161288455129
GRIN2B,GRIK1,0.004070964176207781
GRIN2B,GRM3,0.0020809746347367764
GRIN2B,GRIA1,0.0014687132788822055
GRIN2B,CHRNA7,0.002886118832975626
GRIN2B,CACNA1G,0.002597822574898601
GRIN2B,GRM5,0.0017385288374498489
GRIN2B,HTR2A,0.0024091866798698893
GRIN2B,GRIK4,0.002988246269524097
GRIN2B,GRIA4,0.00207145675085485
GRIN2B,GRIK5,0.002280110958963633
GRIN2B,CAMK2D,0.002347845816984773
GRIN2B,HTR2C,0.002465507946908474
GRIN2B,HOMER3,0.006192537024617195
GRIN2A,RYR2,0.0043310639448463925
GRIN2A,NRG1,0.0002110948844347149
GRIN2A,PLCB1,0.0013954463647678494
GRIN2A,GRIK2,0.004525016527622938
GRIN2A,CACNA1D,0.00033612942206673324
GRIN2A,CACNA1C,0.002034983830526471
GRIN2A,GRM8,0.0026602111756801605
GRIN2A,GRM1,0.000255772320087999
GRIN2A,DRD1,0.00022596638882532719
GRIN2A,GRIK3,0.00027550835511647165
GRIN2A,GRIK1,0.0047360481694340715
GRIN2A,GRM3,0.00025089076370932156
GRIN2A,GRIA1,0.00017707371443975714
GRIN2A,CHRNA7,0.00206502852961421
GRIN2A,CACNA1G,0.0003589179250411689
GRIN2A,GRM5,0.00020960411347914487
GRIN2A,HTR2A,0.0002906705776695162
GRIN2A,GRIK4,0.0004701233410742134
